image,dance_style,viewpoint,num_couples,avg_nearest_neighbor,std_nearest_neighbor,cv_nearest_neighbor,min_nearest_neighbor,max_nearest_neighbor
STD_FORM_FB_AD_AV_180.jpg,STD,AV,7,174.76,43.35,0.248,152.1,271.32
STD_FORM_FB_AD_AV_181.jpg,STD,AV,7,168.49,28.9,0.172,145.56,230.34
STD_FORM_FB_AD_AV_182.jpg,STD,AV,6,308.03,31.48,0.102,280.06,357.47
STD_FORM_FB_AD_AV_183.jpg,STD,AV,8,224.23,49.92,0.223,183.52,320.73
STD_FORM_FB_AD_AV_184.jpg,STD,AV,8,163.11,44.71,0.274,119.08,242.74
STD_FORM_FB_AD_AV_185.jpg,STD,AV,7,247.63,37.22,0.15,208.87,292.68
STD_FORM_FB_AD_AV_186.jpg,STD,AV,8,147.43,20.69,0.14,124.31,181.41
STD_FORM_FB_AD_AV_187.jpg,STD,AV,7,232.39,31.49,0.136,199.32,268.59
STD_FORM_FB_AD_AV_188.jpg,STD,AV,7,256.64,66.11,0.258,193.28,348.37
STD_FORM_FB_AD_AV_189.jpg,STD,AV,8,220.21,60.86,0.276,175.2,315.9
STD_FORM_FB_AD_AV_190.jpg,STD,AV,7,239.06,29.14,0.122,212.89,298.23
STD_FORM_FB_AD_AV_191.jpg,STD,AV,8,212.5,15.85,0.075,193.03,236.73
STD_FORM_FB_AD_AV_192.jpg,STD,AV,8,193.9,19.81,0.102,164.26,213.64
STD_FORM_FB_AD_AV_224.jpg,STD,AV,6,269.07,25.01,0.093,252.88,316.06
STD_FORM_FB_AD_AV_225.jpg,STD,AV,6,285.86,38.08,0.133,263.55,361.46
STD_FORM_FB_AD_AV_226.jpg,STD,AV,8,162.15,22.65,0.14,126.09,179.7
STD_FORM_FB_AD_AV_227.jpg,STD,AV,7,205.16,107.55,0.524,124.12,423.91
STD_FORM_FB_AD_AV_228.jpg,STD,AV,7,235.41,69.22,0.294,185.15,342.7
STD_FORM_FB_AD_AV_229.jpg,STD,AV,7,249.48,63.68,0.255,201.2,377.2
STD_FORM_FB_AD_AV_230.jpg,STD,AV,6,268.15,83.74,0.312,214.56,400.87
STD_FORM_FB_AD_AV_231.jpg,STD,AV,8,189.76,48.44,0.255,143.85,283.42
STD_FORM_FB_AD_AV_232.jpg,STD,AV,7,196.81,47.65,0.242,134.3,247.28
STD_FORM_FB_AD_AV_233.jpg,STD,AV,8,164.53,61.35,0.373,96.57,236.39
STD_FORM_FB_AD_AV_234.jpg,STD,AV,8,133.7,85.32,0.638,0.95,233.02
STD_FORM_FB_AD_AV_235.jpg,STD,AV,8,112.63,15.73,0.14,91.81,139.62
STD_FORM_FB_AD_AV_236.jpg,STD,AV,8,116.82,11.11,0.095,105.21,139.85
STD_FORM_FB_AD_AV_237.jpg,STD,AV,8,122.98,7.52,0.061,117.03,138.84
STD_FORM_FB_AD_AV_238.jpg,STD,AV,8,152.84,20.73,0.136,130.59,178.87
